cycle,ts,dopamine,serotonin,glutamate,gaba,noradrenaline,acetylcholine,histamine,orexin,bdnf,adenosine,endocannabinoid_2ag,cortisol,exploration_bias,plasticity_level,adaptive_threshold,survivors,participated,weakened,effectiveness,reciprocal_gate,allostatic_load
24,1783770673,0.353491,0.339309,0.688773,0.492613,0.847685,0.507974,0.4401,0.8473,0.8982,0.600201,1e-06,0.1423778204109197,0.8166903533393391,0.9320689914186027,0.8603131937295169,13.0,97.0,84.0,-0.0007707539645631403,0.33989375088808377,0.08701533413905825
25,1783770677,0.352904,0.338986,0.688869,0.492625,0.847688,0.508011,0.44,0.8471,0.9022,0.60022,1e-06,0.1423778204109197,0.8168649165925808,0.93219842604984,0.8767827931895287,16.0,85.0,69.0,-0.0005371228307461094,0.3398067256216586,0.08701533413905825
26,1783770681,0.35354,0.339336,0.688773,0.492614,0.847691,0.507961,0.44,0.847,0.9062,0.600151,1e-06,0.1423778204109197,0.8166901258924444,0.9320658564416121,0.8629864571884418,13.0,93.0,80.0,0.0005898796972331986,0.33984052793516095,0.08701533413905825
27,1783770685,0.351262,0.338083,0.689134,0.492658,0.847694,0.508118,0.44,0.8468,0.9058,0.600018,1e-06,0.1423778204109197,0.8173479117167286,0.932557730325699,0.8402632434162545,18.0,89.0,71.0,-0.0020955393269731777,0.33997282955461255,0.08701533413905825
28,1783770689,0.353684,0.339415,0.688757,0.492614,0.847697,0.50794,0.44,0.8467,0.9017,0.599912,1e-06,0.1423778204109197,0.8166626755344086,0.932042348679159,0.8436526062625314,10.0,91.0,81.0,0.0022366909563423178,0.3400974206882288,0.08701533413905825
29,1783770694,0.351195,0.338046,0.689152,0.492662,0.8477,0.508113,0.44,0.8466,0.8992,0.600035,1e-06,0.1423778204109197,0.8173803418613601,0.9325791547660867,0.8611143503879075,14.0,90.0,76.0,-0.002288980926656833,0.33996529448176016,0.08701533413905825
30,1783770699,0.351496,0.338212,0.689109,0.492658,0.847703,0.508086,0.44,0.8464,0.8949,0.599898,1e-06,0.1423778204109197,0.8173010846494099,0.9325182789293648,0.863372989461012,10.0,94.0,84.0,0.000280690328732471,0.340120566137232,0.08701533413905825
31,1783770703,0.350485,0.337656,0.68927,0.492678,0.847706,0.508154,0.44,0.8463,0.8873,0.600144,1e-06,0.1423778204109197,0.8175965499531539,0.9327384555907462,0.8685555066773176,9.0,97.0,88.0,-0.0009277011932719589,0.3398430762960624,0.08701533413905825
32,1783770707,0.353648,0.339395,0.688777,0.49262,0.847709,0.507923,0.44,0.8461,0.8826,0.600131,1e-06,0.1423778204109197,0.8166993649856782,0.9320641550426083,0.853336361507092,14.0,95.0,81.0,0.0029198650727223054,0.3398363734072437,0.08701533413905825
33,1783770711,0.351229,0.338065,0.68916,0.492666,0.847712,0.508091,0.4399,0.846,0.88,0.600324,1e-06,0.1423778204109197,0.8173970342298067,0.9325860055313603,0.8643354596094441,11.0,92.0,81.0,-0.0022252616491635646,0.33959484138507057,0.08701533413905825
34,1783770715,0.350923,0.337896,0.689212,0.492673,0.847715,0.508108,0.4399,0.8458,0.8781,0.600467,1e-06,0.1423778204109197,0.817491130493813,0.9326551865491924,0.8526610558698342,14.0,96.0,82.0,-0.00027905544678378304,0.3393921289695494,0.08701533413905825
35,1783770719,0.362681,0.344363,0.687368,0.492453,0.847718,0.507263,0.44,0.8457,0.8782,0.599695,1e-06,0.1423778204109197,0.8141380584671197,0.9301390015008209,0.8762922364729402,13.0,89.0,76.0,0.010871577054301218,0.34026129027868457,0.08701533413905825
36,1783770723,0.351565,0.33825,0.689118,0.492664,0.84772,0.508053,0.44,0.8455,0.878,0.599852,1e-06,0.1423778204109197,0.817320322331544,0.9325243284118911,0.8427241207427084,12.0,88.0,76.0,-0.010238925599969872,0.34014404319507907,0.08701533413905825
37,1783770728,0.352767,0.338911,0.688933,0.492643,0.847723,0.507962,0.44,0.8454,0.8833,0.599925,1e-06,0.1423778204109197,0.8169832219281078,0.9322701420540577,0.8611144969645462,15.0,88.0,73.0,0.0011113647402549648,0.3400857302365553,0.08701533413905825
38,1783770732,0.351946,0.338459,0.689065,0.49266,0.847726,0.508016,0.4401,0.8452,0.887,0.59976,1e-06,0.1423778204109197,0.8172241690905014,0.9324495011950505,0.8660269979172653,10.0,97.0,87.0,-0.0007534874155350801,0.34029071116558873,0.08701533413905825
39,1783770736,0.354253,0.339728,0.688706,0.492617,0.847729,0.507847,0.44,0.8451,0.8836,0.600038,1e-06,0.1423778204109197,0.8165713632007783,0.9319585552654184,0.8543135749616185,18.0,89.0,71.0,0.0021304110778610527,0.3399906578159121,0.08701533413905825
40,1783770740,0.353359,0.339236,0.688849,0.492635,0.847732,0.507906,0.44,0.8449,0.8823,0.60002,1e-06,0.1423778204109197,0.8168329164672515,0.9321533883169251,0.848495892386469,11.0,93.0,82.0,-0.0008206144912606015,0.3399964604711384,0.08701533413905825
41,1783770744,0.353595,0.339366,0.688815,0.492632,0.847734,0.507884,0.44,0.8448,0.8844,0.600114,1e-06,0.1423778204109197,0.8167715322579594,0.9321060277726201,0.8703490279377784,16.0,91.0,75.0,0.00022124346949953412,0.3398770023297968,0.08701533413905825
42,1783770748,0.353494,0.339311,0.688835,0.492635,0.847737,0.507887,0.44,0.8447,0.8858,0.599878,1e-06,0.1423778204109197,0.8168065598230142,0.9321309854685731,0.833461579916524,14.0,91.0,77.0,-9.00276045106019e-05,0.34013766163085773,0.08701533413905825
43,1783770752,0.352584,0.33881,0.688981,0.492654,0.84774,0.507948,0.44,0.8445,0.888,0.600174,1e-06,0.1423778204109197,0.8170727100169356,0.9323292944456,0.8609304482068569,16.0,96.0,80.0,-0.0008357614488250393,0.33980564314160044,0.08701533413905825
44,1783770756,0.354367,0.339791,0.688704,0.492621,0.847742,0.507816,0.44,0.8444,0.8894,0.600183,1e-06,0.1423778204109197,0.8165692531321141,0.9319504073243325,0.8502281980955306,15.0,95.0,80.0,0.0016476241742387854,0.3397698101991202,0.08701533413905825
45,1783770761,0.353848,0.339505,0.688789,0.492632,0.847745,0.507848,0.4399,0.8442,0.8908,0.600232,1e-06,0.1423778204109197,0.8167235688433593,0.9320648587636077,0.8564117324691276,14.0,93.0,79.0,-0.00047547712235721613,0.33969320713938417,0.08701533413905825
46,1783770765,0.351611,0.338275,0.689144,0.492675,0.847748,0.508004,0.4399,0.8441,0.8931,0.600331,1e-06,0.1423778204109197,0.8173684604302451,0.9325472511271993,0.8548335021364132,14.0,97.0,83.0,-0.002057491920323277,0.33955706499756894,0.08701533413905825
47,1783770769,0.351248,0.338075,0.689203,0.492684,0.84775,0.508025,0.4399,0.8439,0.8947,0.600394,1e-06,0.1423778204109197,0.8174782502216621,0.9326283260672098,0.8462494312693334,15.0,91.0,76.0,-0.00033185818657230067,0.3394567254982982,0.08701533413905825
